file	#_reads_raw	#_reads_fp1	#_reads_clmp	#_reads_fp2	#_reads_fqscrn	#_reads_repr	%_readsRemaining_fp1	%_readsRemaining_clmp	%_readsRemaining_fp2	%_readsRemaining_fqscrn	%_readsRemaining_repr	%_total_readsRemaining
Eps-CBai_043_Ex1-1B_L4_1.fq.gz	218012206	206989151	174525375	113221639	95053693	88307209	94.9438	84.3162	64.874	83.9536	92.9024	40.5056
Eps-CBai_043_Ex1-1B_L4_2.fq.gz	218012206	206989151	174525375	113221639	95373068	88307209	94.9438	84.3162	64.874	84.2357	92.5913	40.5056
Eps-CBai_043_Ex1-2A_L4_1.fq.gz	240148768	230066438	191621285	134867462	117133855	109344298	95.8016	83.2895	70.3823	86.8511	93.3499	45.5319
Eps-CBai_043_Ex1-2A_L4_2.fq.gz	240148768	230066438	191621285	134867462	117438211	109344298	95.8016	83.2895	70.3823	87.0768	93.1079	45.5319
Eps-CBai_043_Ex1-2H_L4_1.fq.gz	278974147	266447628	223129289	137919476	115852188	108186310	95.5098	83.7423	61.8115	83.9999	93.3831	38.78
Eps-CBai_043_Ex1-2H_L4_2.fq.gz	278974147	266447628	223129289	137919476	116108456	108186310	95.5098	83.7423	61.8115	84.1857	93.1769	38.78
