file 	#reads_raw	#reads_fp1	#reads_clmp	#reads_fp2	#reads_fqscrn	#reads_repr	%_readLoss_fp1	%_readLoss_clmp	%_readLoss_fp2	%_readLoss_fqscrn	%_readLoss_repr	%_total_readLoss
Eps-CBai_043_Ex1-1B_L4_1.fq.gz	218012206	206989151	174525375	113221639	95051639	88304728	5.05616	15.6838	35.126	16.0482	7.09815	59.4955
Eps-CBai_043_Ex1-1B_L4_2.fq.gz	218012206	206989151	174525375	113221639	95372240	88304728	5.05616	15.6838	35.126	15.765	7.41045	59.4955
Eps-CBai_043_Ex1-2A_L4_1.fq.gz	240148768	230066438	191621285	134867462	117134146	109344040	4.19837	16.7105	29.6177	13.1487	6.65059	54.4682
Eps-CBai_043_Ex1-2A_L4_2.fq.gz	240148768	230066438	191621285	134867462	117438218	109344040	4.19837	16.7105	29.6177	12.9232	6.89229	54.4682
Eps-CBai_043_Ex1-2H_L4_1.fq.gz	278974147	266447628	223129289	137919476	115852671	108186553	4.49021	16.2577	38.1885	15.9998	6.61713	61.2199
Eps-CBai_043_Ex1-2H_L4_2.fq.gz	278974147	266447628	223129289	137919476	116108489	108186553	4.49021	16.2577	38.1885	15.8143	6.82287	61.2199
